# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  152       5.841988647300e-10       1.425747763445e-13      -6.074057192855e-12       0.000000000000e+00       3.417456711490e-12       6.174804558665e-13      -3.871808716136e-15 
  153       5.884425758542e-10       1.417878044093e-13      -6.071773093309e-12       0.000000000000e+00       3.353509291821e-12       6.090280139118e-13      -3.831100434517e-15 
  154       5.926583043662e-10       1.409464676501e-13      -6.066225654297e-12       0.000000000000e+00       3.291067954909e-12       6.006127449274e-13      -3.782718434654e-15 
  155       5.968447838103e-10       1.400522721992e-13      -6.057378170407e-12       0.000000000000e+00       3.230099492372e-12       5.922317527044e-13      -3.727145721948e-15 
  156       6.010007495422e-10       1.391068252762e-13      -6.045195589710e-12       0.000000000000e+00       3.170573094376e-12       5.839049552219e-13      -3.666037014189e-15 
  157       6.051249003542e-10       1.381118436657e-13      -6.029644554069e-12       0.000000000000e+00       3.112451862115e-12       5.756528956328e-13      -3.601140538009e-15 
  158       6.092158978045e-10       1.370691554214e-13      -6.010693438829e-12       0.000000000000e+00       3.055692679647e-12       5.674967489947e-13      -3.534299557068e-15 
  159       6.132723655478e-10       1.359807015706e-13      -5.988312392514e-12       0.000000000000e+00       3.000246085730e-12       5.594583290019e-13      -3.467453900232e-15 
  160       6.172929440291e-10       1.348485209835e-13      -5.962473437658e-12       0.000000000000e+00       2.946063449460e-12       5.515561530876e-13      -3.402241547079e-15 
  161       6.212764614409e-10       1.336746998890e-13      -5.933150700054e-12       0.000000000000e+00       2.893119483892e-12       5.437932301094e-13      -3.338760333824e-15 
  162       6.252217767671e-10       1.324614211027e-13      -5.900320275832e-12       0.000000000000e+00       2.841391499947e-12       5.361681939159e-13      -3.276698481130e-15 
