# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  125       4.637557615313e-10       1.403981389461e-13      -5.076964072273e-12       0.000000000000e+00       5.943485802023e-12       9.360850895585e-13      -5.621419950380e-15 
  126       4.682732256214e-10       1.413002601674e-13      -5.143642256441e-12       0.000000000000e+00       5.813953175311e-12       9.207782314901e-13      -5.583066173024e-15 
  127       4.727969287836e-10       1.421427361534e-13      -5.208570099317e-12       0.000000000000e+00       5.687997882125e-12       9.058790015412e-13      -5.544090240766e-15 
  128       4.773254384366e-10       1.429246832273e-13      -5.271676705987e-12       0.000000000000e+00       5.565530095690e-12       8.912946731712e-13      -5.501734395016e-15 
  129       4.818572130170e-10       1.436452710493e-13      -5.332891372469e-12       0.000000000000e+00       5.446437596074e-12       8.769246655563e-13      -5.453065462757e-15 
  130       4.863905993029e-10       1.443037241478e-13      -5.392143617074e-12       0.000000000000e+00       5.330585193806e-12       8.626603734907e-13      -5.394971417884e-15 
  131       4.909240116835e-10       1.448993376902e-13      -5.449364055043e-12       0.000000000000e+00       5.217834410332e-12       8.484233786485e-13      -5.325427106313e-15 
  132       4.954564975483e-10       1.454315234719e-13      -5.504487062764e-12       0.000000000000e+00       5.108106146217e-12       8.342851113731e-13      -5.247453310992e-15 
  133       4.999872282247e-10       1.458997718172e-13      -5.557448462141e-12       0.000000000000e+00       5.001323727270e-12       8.203598599974e-13      -5.165581056967e-15 
  134       5.045153211081e-10       1.463036394007e-13      -5.608184739969e-12       0.000000000000e+00       4.897392823424e-12       8.067676443666e-13      -5.084626129200e-15 
